R,S(R)
T=2.50,
1.099,0.842
1.386,0.725
1.609,0.666
1.792,0.630
1.946,0.578
2.079,0.587
2.197,0.596
2.303,0.498
2.398,0.508
2.485,0.536
2.565,0.483
2.639,0.516
2.708,0.469
2.773,0.478
2.833,0.447
2.890,0.476
2.944,0.456
2.996,0.428
3.045,0.437
3.091,0.463
3.135,0.472
3.178,0.431
3.219,0.428
3.258,0.419
3.296,0.452
3.332,0.416
3.367,0.429
3.401,0.425
3.434,0.426
3.466,0.432
3.497,0.427
3.526,0.413
3.555,0.428
3.584,0.438
3.611,0.417
3.638,0.423
3.664,0.418
3.689,0.411
3.714,0.417
3.738,0.422
3.761,0.407
3.784,0.423
3.807,0.413
3.829,0.414
3.850,0.415
3.871,0.406
3.892,0.417
3.912,0.413
3.932,0.408
3.951,0.414
